Linha;Vista;Empresa
820;RECREIO SHOPPINGXEST.GLAUCIO GIL(V.ESTR.PONTAL)CIR;Translitoral Transporte Ltda.
821;CORCUNDINHA X CAMPO GRANDE(VIA CAPOEIRAS)CIRCULAR;Palmares
822;CORCUNDINHA X CAMPO GRANDE(VIA VILA NOVA)CIRCULAR;Palmares
823;V.GRANDE x RECREIO (VIA ESTRADA DO PONTAL) - CIRCULAR;Litoral Rio
SN823;SN - VARGEM GRANDE X RECREIO (VIA ESTRADA DO PONTAL) CIRCULAR;Litoral Rio
824;SANTA MARIA(VILA NOVA) X CAMPO GRANDE (CIRCULAR);Pégaso
825;CAMPO GRANDE X JESUITAS (VIA SANTA CRUZ -CIRCULAR);Palmares
826;CAROBINHA X C. GRANDE(V.ESTR. DO LAMEIRAO)CIRCULAR;POOL: Pégaso - Barra - Campo Grande - Jabour
827;V.GRANDE X RECREIO(AV.BENVINDO NOVAES/AV.G.GIL)CIR;Litoral Rio
SN827;SN - VARGEM GRANDE X RECREIO (VIA AV. BENVINDO DE NOVAES/ AV. GLÁUCIO GIL) CIRCULAR;Litoral Rio
828;SAO JORGE X CAMPO GRANDE(CIRCULAR);Pégaso
829;GARDENIA AZUL X FREGUESIA(CIRCULAR);Redentor
830;PEDREGOSO X CAMPO GRANDE (CIRCULAR);Pégaso
831;COLONIA X TAQUARA;Transportes Santa Maria Ltda.
832;COLONIA X HOSP. SARAH(VIA CURICICA)CIRCULAR;Transportes Santa Maria Ltda.
SE832;SE - RIO CENTRO X ALVORADA (CIRCULAR);Transportes Santa Maria Ltda.
833;CONJUNTO MANGUARIBA X CAMPO GRANDE;Palmares
834;LARGO DO CORREIA X CAMPO GRANDE (V.ESTR.MONTEIRO);Jabour
835;LARGO DO CORREIA X CAMPO GRANDE (VIA CACHAMORRA);POOL: Jabour - Jabour
836;CABOCLOS X CAMPO GRANDE (CIRCULAR);Jabour
837;CONJUNTO DA MARINHA X CAMPO GRANDE;Jabour
838;JARDIM MARAVILHA X CAMPO GRANDE;POOL: Jabour - Jabour - Jabour
SN838;SN - JARDIM MARAVILHA X CAMPO GRANDE;Jabour
SP838;SP - JARDIM MARAVILHA X MAGARCA;Jabour
839;CESARAO X CAMPO GRANDE (VIA URUCANIA) CIRCULAR;Palmares
SN839;SN - CESARAO X CAMPO GRANDE(VIA URUCANIA) CIRCULAR;Palmares
840;SAO FERNANDO X CAMPO GRANDE (VIA AV JOAO XXIII);Palmares
SN840;SN - SAO FERNANDO X CAMPO GRANDE(VIA AV.JOAO XXIII;Palmares
841;VILAR CARIOCA X CAMPO GRANDE;Palmares
SN841;SN - VILAR CARIOCA X CAMPO GRANDE;Palmares
SP841;SP - SALIM X CAMPO GRANDE (CIRCULAR);Palmares
842;PACIENCIA X CAMPO GRANDE (VIA SANTA MARGARIDA);Palmares
843;BOA ESPERANCA X CAMPO GRANDE (CIRCULAR);Jabour
SV843;SV - BOA ESPERANCA X CAMPO GRANDE(V.E.CACHAMORRA);Jabour
844;BARRA SHOPPING X BARRINHA(CIRCULAR);Redentor
845;CANTAGALO X CAMPO GRANDE (CIRCULAR);Jabour
846;RIO DA PRATA X CAMPO GRANDE (VIA CABUCU);Campo Grande
SN846;SN - RIO DA PRATA X CAMPO GRANDE (VIA CABUCU);Campo Grande
847;RIO DA PRATA X CAMPO GRANDE (VIA LAMEIRAO);Campo Grande
848;BAIRRO MONTE SANTO X CAMPO GRANDE (CIRCULAR);Campo Grande
849;BASE AEREA DE SANTA CRUZ X CAMPO GRANDE;Palmares
850;MENDANHA X CAMPO GRANDE;POOL: Pégaso - Pégaso
SN850;SN - MENDANHA X CAMPO GRANDE;Pégaso
SP850;SP - SAO GERALDO X CAMPO GRANDE;Pégaso
851;C.GRANDE X ESC.AMAZONAS (VIA A.VASCONCELOS)CIRC.;Jabour
852;C.GRANDE X PEDRA DE GUARATIBA (V.MATO ALTO-CIRC);POOL: Jabour - Jabour
853;VILA KENNEDY X ESTACAO BRT MATO ALTO(CIRCULAR);Jabour
SV853;SV-VILA KENNEDY X EST. MATO ALTO (V.S.GERALDO)CIRC;Jabour
854;C.GRANDE X EST.I.GUARATIBA(V.ESTR.CACHAMORRA)CIRC.;Jabour
SN854;SN-C.GRANDE X EST.I.GUARATIBA(V.ESTR.CACHAMORRA)CI;Jabour
SPA854;SPA - CAMPO GRANDE X ESTR. MATO ALTO (CIRCULAR);Jabour
SPB854;SPB - ESTR. MATO ALTO X ESTR.I. DE GUARATIBA)CIRC.;Jabour
855;BANGU X MAGARCA (VIA AV. SANTA CRUZ)CIRCULAR;POOL: Jabour - Jabour
856;CURICICA X TAQUARA (CIRCULAR);Transportes Santa Maria Ltda.
857;JARDIM 7 DE ABRIL X PACIENCIA(V. GOUVEIA)CIRCULAR;Consórcio Santa Cruz
858;SAO FERNANDO X PACIENCIA (CIRCULAR);POOL: Pégaso - Campo Grande
859;COVANCA X LARGO DO TANQUE (CIRCULAR);Litoral Rio
860;RIO DAS PEDRAS X FREGUESIA (CIRCULAR);Futuro
861;RIO DAS PEDRAS X CURICICA (VIA CIDADE DE DEUS);Redentor
862;RIO DAS PEDRAS X BARRA(VIA ESTR.JACAREPAGUA)CIRC.;POOL: Redentor - Redentor
863;RIO DAS PEDRAS X BARRA(VIA AV. AYRTON SENNA)CIRC.;Redentor
864;BANGU X CAMPO GRANDE;Jabour
865;PAU DA FOME X TAQUARA (VIA RODRIGUES CALDAS)CIRC;Transportes Santa Maria Ltda.
866;CAMPO GRANDE X PEDRA DE GUARATIBA(V. MAGARCA)CIRC.;POOL: Jabour - Jabour
SV866;SV - CINCO MARIAS X CAMPO GRANDE (CIRCULAR);Jabour
867;BARRA DE GUARATIBA X CAMPO GRANDE(V.ILHA GUARATIBA;POOL: Jabour - Jabour - Jabour
SE867;SE -BARRA DE GUARATIBA X CAMPO GRANDE (V. AMERICAS;Jabour
SN867;SN -BARRA DE GUARATIBA X C.GRANDE(V.ILHA GUARATIBA;Jabour
868;URUCANIA X CAMPO GRANDE;Palmares
869;SANTA MARGARIDA X CAMPO GRANDE (CIRCULAR);Palmares
870;SEPETIBA X SANTA CRUZ (CIRCULAR);POOL: Campo Grande - Pégaso
SV870;SV - SEPETIBA X SANTA CRUZ(VIA CROACIA)CIRCULAR;Barra
871;SEPETIBA X ESTACAO CESARAO III(V.CROACIA)CIRCULAR;POOL: Jabour - Consórcio Santa Cruz
872;SEPETIBA X ESTACAO CESARAOIII(V.PRAIA SEPETIBA)CIR;POOL: Jabour - Consórcio Santa Cruz
873;JARDIM 7 DE ABRILXPACIENCIA(V.CESARIO DE MELO)CIRC;Pégaso
874;MARAMBAIA X ESTACAO ILHA DE GUARATIBA(CIRCULAR);Jabour
875;PRACA SECA X CHACARA (CIRCULAR);POOL: Futuro - Transportes Santa Maria Ltda.
877;TANQUE X RIO DAS PEDRAS(CIRCULAR);Futuro
878;TANQUE X BARRA DA TIJUCA(V.AV.ENG.SOUZA FILHO)CIRC;POOL: Barra - Barra
SV878;SV-TANQUE X B. DA TIJUCA(V.ESTR.DE JACAREPAGUA)CIR;POOL: Barra - Barra
879;CAMPO GRANDE X MAGARCA(CIRCULAR);Pégaso
880;RIO DAS PEDRAS X ALVORADA;Litoral Rio
882;TANQUE X ALVORADA (VIA FREGUESIA);Futuro
883;BANGU X EST.MATO ALTO(VIA ESTRADA DO PRE)CIRCULAR;Jabour
884;SEPETIBA X CAMPO GRANDE;POOL: Jabour - Jabour - Jabour
SP884;SP - SEPETIBA X MAGAR?A;Jabour
885;PIRAQUE X SANTA CRUZ (VIA PEDRA DE GUARATIBA);Pégaso
886;FREGUESIA X BARRA DA TIJUCA (CIRCULAR);Futuro
887;PECHINCHA X BARRA DA TIJUCA (CIRCULAR);Redentor
888;ALVORADA X JOATINGA(VIA ERICO VERISSIMO)CIRCULAR;Redentor
889;SULACAP X TAQUARA;Barra
890;TANQUE X ALVORADA(VIA CIDADE DE DEUS);Translitoral Transporte Ltda.
891;SEPETIBA X MATO ALTO (VIA PRAIA DA BRISA)CIRCULAR;Pégaso
892;SAO BENEDITO X SANTA CRUZ(VIA MATADOURO)CIRCULAR;Palmares
893;JARDIM PALMARES X CAMPO GRANDE (VIA 29 DE MARCO);Palmares
894;SANTA RITA X CAMPO GRANDE (CIRCULAR);Campo Grande
895;SERRINHA X CAMPO GRANDE (CIRCULAR);Pégaso
896;PINGO D'AGUA X EST.MATO ALTO(V.P.DE GUARATIBA)CIRC;Pégaso
897;ALVORADA X VIA PARQUE (VIA PENINSULA)CIRCULAR;POOL: Redentor - Tijuca - Transportes Santa Maria Ltda. - Translitoral Transporte Ltda.
898;SEPETIBA X CAMPO GRANDE (VIA ESTR. DO CAMPINHO);POOL: Pégaso - Pégaso
SN898;SN - SEPETIBA X CAMPO GRANDE (V. ESTR. DO CAMPINHO;Pégaso
899;ALVORADA X JOATINGA (CIRCULAR);POOL: Redentor - Litoral Rio - Transportes Santa Maria Ltda. - Consórcio Transcarioca
SP899;SP - ALVORADA X DOWNTOWN (CIRCULAR);POOL: Litoral Rio - Transportes Santa Maria Ltda.
900;MERCK X DOWNTOWN (CIRCULAR);POOL: Litoral Rio - Futuro
901;BONSUCESSO X BANANAL (VIA JARDIM GUANABARA);Paranapuan
SV901;SV - BONSUCESSO X BANANAL (VIA CACUIA);Paranapuan
905;BONSUCESSO X IRAJA;POOL: Caprichosa - Caprichosa
SVA905;SVA - BONSUCESSO X IRAJA (VIA AMARELINHO);Caprichosa
SVB905;SVB - IRAJA X HOSP.CLINICAS(V.C.UNIVERSITARIA)CIRC;Caprichosa
SVC905;SVC - BONSUCESSO X IRAJA(VIA SHOPPING VIA BRASIL);Caprichosa
906;JARDIM AMERICA X CAJU;VG
908;BONSUCESSO X GUADALUPE (VIA METRO INHAUMA);POOL: Vila Real - Vila Real - Vila Real
SV908;SV - BONSUCESSO X GUADALUPE;POOL: Vila Real - Vila Real - Vila Real
910;BANANAL X FUNDAO (CIRCULAR);Paranapuan
911;BONSUCESSO X CIDADE UNIVERSITARIA (CIRCULAR);Paranapuan
912;VAZ LOBO X CAMPEOES (CIRCULAR);Paranapuan
913;DEL CASTILHO X FUNDAO (VIA CIDADE UNIVERSITARIA);Paranapuan
914;BANANAL X JARDIM AMERICA(CIRCULAR);Paranapuan
915;BONSUCESSO X AIRJ (CIRCULAR);Paranapuan
917;REALENGO X BONSUCESSO;Novacap
SV917;SV - REALENGO X BONSUCESSO(VIA RUA MARINA);Novacap
918;BANGU X BONSUCESSO (VIA JARDIM VIOLETA);POOL: Jabour - Jabour - Jabour
919;PAVUNA X BONSUCESSO (PARQUE UNIAO);Gire
SV919;SV - PAVUNA X BONSUCESSO(VIA VILA KOSMOS);Gire
920;PAVUNA X BONSUCESSO (VIA FAZENDA BOTAFOGO);Gire
SV920;SV - PAVUNA X BONSUCESSO (VIA SHOPPING VIA BRASIL);Gire
921;VILA CRUZEIRO X LARGO DA PENHA (CIRCULAR);Três Amigos
922;TUBIACANGA X AER. INTERNACIONAL(CIRCULAR)VIA LIGHT;Paranapuan
923;JARDIM VIOLETA X IAPI DA PENHA (VIA BANGU);Campo Grande
924;AEROPORTO X BANANAL;Paranapuan
925;AEROPORTO X BANCARIOS (CIRCULAR);Ideal
926;SENADOR CAMARA X PENHA;POOL: Barra - Consórcio Santa Cruz
928;MARECHAL HERMES X RAMOS ( CIRCULAR );POOL: Madureira Candelária - Madureira Candelária
SV928;SV - MARECHAL HERMES X RAMOS(V.AV. MERITI)CIRCULAR;Madureira Candelária
SP928;SP - MARECHAL HERMES X MADUREIRA (CIRCULAR);Madureira Candelária
931;CURICICA X RECREIO (VIA ARROIO PAVUNA)CIRCULAR;Transportes Santa Maria Ltda.
932;GARDENIA AZUL X TANQUE (VIA PAU FERRO);Futuro
933;CATIRI X CIDADE UNIVERSITARIA (VIA BANGU);POOL: Barra - Barra
934;RIBEIRA X PORTUGUESA (VIA COCOTA) CIRCULAR;Paranapuan
935;RIBEIRA X PORTUGUESA (CIRCULAR);Ideal
936;CAMPO GRANDE X CIDADE UNIVERSITARIA;POOL: Barra - Barra - Barra
940;RAMOS (PRAIA) X MADUREIRA;POOL: Caprichosa - Caprichosa
SV940;SV - RAMOS(PRAIA) X PARQUE MADUREIRA;Caprichosa
942;PENHA X PAVUNA;POOL: Gire - Gire
SV942;SV - PENHA X PAVUNA (VIA SHOPPING VIA BRASIL);Gire
944;PAVUNA X CONJ. ENGENHEIRO RUBENS PAIVA (CIRCULAR);Pavunense
SV944;SV -PAVUNA X CJ.ENG.RUBENS PAIVA(V.S.A.ERNESTO)CIR;Pavunense
945;PAVUNA X CIDADE UNIVERSITARIA;Pavunense
946;PAVUNA X ENGENHO DA RAINHA(AV. DOM HELDER CAMARA);Pavunense
947;PAVUNA X COELHO NETO (VIA DEODORO) CIRCULAR;Consórcio Internorte
950;V.CARVALHO X V.ALEGRE(AV.MERITI/S.VIA BRASIL)CIRC.;Caprichosa
951;V.CARVALHOXV.ALEGRE(V.CEL.VIEIRA/SHOP.V.BRASIL)CIR;Caprichosa
953;TAQUARA X CIDADE DE DEUS(VIA RETIRO DOS ARTISTAS);Redentor
954;CURICICA X RECREIO(VIA AV. BENVINDO DE NOVAES);Transportes Santa Maria Ltda.
955;MARE X ALVORADA (VIA LINHA AMARELA);POOL: Real - Real
956;PENHA X INVERNADA (VIA PENHA) CIRCULAR;Três Amigos
959;CURICICA X RECREIO (VIA AV. SALVADOR ALLENDE);Transportes Santa Maria Ltda.
963;SANTA MARIA X TAQUARA;Transportes Santa Maria Ltda.
964;PAU DA FOME X TAQUARA(VIA MERINGUAVA);Transportes Santa Maria Ltda.
966;TANQUE X HOSPITAL CARDOSO FONTES(CIRCULAR);Redentor
991;TAQUARA X ALVORADA (VIA CIDADE DE DEUS);POOL: Redentor - Translitoral Transporte Ltda.
2014;GAVEA X RODOVIÁRIA;Premium
2015;CASTELO X LEBLON (CIRCULAR);POOL: Premium - Premium
SE2016;AEROPORTO DO GALEÃO X PÇA. GENERAL OSÓRIO;Premium
2017;RODOVIARIA X LEBLON (CIRCULAR);POOL: Premium - Premium
2018;AEROPORTO INTERNACIONAL DO RJ X ALVORADA;Premium
2020;PENINSULA X RODOVIARIA;Premium
2101;AEROPORTO INTERNACIONAL X AEROPORTO S.DUMONT(V.L.VERMELHA);Premium
2110;GADERNIA AZUL X CASTELO;Redentor
2111;PRACA SECA X CASTELO( VIA AV. MENEZES CORTES);Redentor
2112;TAQUARA X CASTELO (VIA LINHA AMARELA);Redentor
2114;FREGUESIA X CASTELO;Redentor
2115;PECHINCHA X CASTELO (VIA ITANHANGA);Redentor
2145;AEROPORTO INTERNACIONAL X AEROPORTO SANTOS DUMONT (VIA AV. PRES. VARGAS);POOL: Premium - Premium
2203;GRAJAU X CASTELO (CIRCULAR);Graças
2251;ENGENHO DE DENTRO X CARIOCA (EXPRESSO);Matias
2303;CESARAO X CARIOCA;Recreio
2305;JARDIM AMERICA X CASTELO;POOL: Pavunense - Pavunense
2307;JARDIM 7 DE ABRIL X CARIOCA (VIA AV.PRES. VARGAS);Pégaso
2308;COSMOS X CARIOCA;Recreio
2309;URUCANIA X CARIOCA;Pégaso
2310;BANGU X CASTELO;Campo Grande
2329;RECREIO X CASTELO (VIA AV.LUCIO COSTA);Recreio
2330;RODOVIARIA X B.DA TIJUCA(V.LINHA AMARELA);Tijuca
2332;CAMPO GRANDE X CASTELO (VIA AV. SANTA CRUZ);Jabour
2333;RECREIO X CASTELO (VIA AV.DAS AMERICAS);Recreio
SV2333;SV-RECREIOXCASTELO(V.AV.DASAMERICAS/GUIOMARNOVAES);Recreio
2334;CAMPO GRANDE X CASTELO;Jabour
SV2334;SV - C.GRANDE X CASTELO (V.CACHAMORRA E B. TIJUCA);Jabour
2335;SANTA CRUZ X CASTELO (VIA BARRA DA TIJUCA);Recreio
2336;CAMPO GRANDE X CASTELO (VIA AV. BRASIL);Pégaso
2337;SANTA CRUZ X CASTELO (VIA SEPETIBA);Recreio
2338;CAMPO GRANDE X CASTELO (VIA ESTRADA DO MAGARCA);Jabour
2339;CAMPO GRANDE X CASTELO(VIA ESTR. DA POSSE);Pégaso
2342;BANANAL X CASTELO(VIA LINHA VERMELHA);Paranapuan
2343;RIBEIRA X CASTELO(VIA LINHA VERMELHA);Ideal
2344;BANCARIOS X CASTELO (VIA L. VERMELHA);Ideal
2345;V.VALQUEIRE X CASTELO(V.NORTE SHOPPING/R.QUIRIRIM);Normandy
SVA2345;SVA- VILA VALQUEIRE X CASTELO(V. NORTE SHOPPING);Normandy
SVB2345;SVB-V.VALQUEIREXCASTELO(V.PCA.BANDEIRA);Normandy
2381;PEDRA DE GUARATIBA X CASTELO;Jabour
SV2381;SV - PEDRA DE GUARATIBA X CASTELO (VIA MATO ALTO);Jabour
SP2381;SP - JARDIM MARAVILHA X CASTELO;Jabour
2801;CAMPO GRANDE X BARRA DA TIJUCA (VIA ESTR.MAGARCA);Jabour
2802;SANTA CRUZ X BARRA DA TIJUCA (VIA AV.AMERICAS);POOL: Recreio - Recreio
2803;VILA KENNEDY X ALVORADA;Jabour
2804;BANGU X BARRA DA TIJUCA(VIA CACHAMORRA);Jabour
2918;AEROPORTO INTERNACIONAL RJ X ALVORADA(V.L.AMARELA);Premium
5700;GALEAO X ALVORADA (RAPIDO);BRT TRANSCARIOCA
TR0NCAL 0NC;;
SN5700;SN- GALEAO X ALVORADA (RAPIDO);BRT TRANSCARIOCA
TR0NCAL 0;;
5701;MADUREIRA X ALVORADA (EXPRESSO);BRT TRANSCARIOCA
TR0NCAL 0NC;;
SP5701;SP - TANQUE X ALVORADA (EXPRESSO);BRT TRANSCARIOCA
TR0NCAL 0;;
5702;MADUREIRA X ALVORADA (PARADOR);BRT TRANSCARIOCA
TR0NCAL 0NC;;
5703;STA. EFIGENIA X PENHA (EXPRESSO);BRT TRANSCARIOCA
TR0NCAL 0NC;;
5704;FUNDAO X ALVORADA (EXPRESSO);BRT TRANSCARIOCA
TR0NCAL 0NC;;
SN5704;SN - FUNDAO X ALVORADA (PARADOR);BRT TRANSCARIOCA
TR0NCAL 0;;
5705;FUNDAO X MADUREIRA(PARADOR);BRT TRANSCARIOCA
TR0NCAL 0NC;;
5800;SANTA CRUZ X ALVORADA (DIRETO/EXPRESSO);BRT TRANSOESTE
TR0NCAL 0NC;;
5801;PINGO D`AGUA X ALVORADA (DIRETO/EXPRESSO);BRT TRANSOESTE
TR0NCAL 0NC;;
5802;MATO ALTO X ALVORADA -DIRETO/EXPRESSO;BRT TRANSOESTE
TR0NCAL 0NC;;
5803;MATO ALTO X ALVORADA (PARADOR);BRT TRANSOESTE
TR0NCAL 0NC;;
SP5803;SP - MATO ALTO X SALVADOR ALLENDE (EXPRESSO);BRT TRANSOESTE
TR0NCAL 0;;
5804;PACIENCIA X SALVADOR ALLENDE (EXPRESSO);BRT TRANSOESTE
TR0NCAL 0NC;;
5805;SANTA CRUZ X CAMPO GRANDE(PARADOR);BRT TRANSOESTE
TR0NCAL 0NC;;
5806;RECREIO X ALVORADA (EXPRESSO);BRT TRANSOESTE
TR0NCAL 0NC;;
5807;PINGO D'AGUA X SALVADOR ALLENDE (EXPRESSO);BRT TRANSOESTE
TR0NCAL 0NC;;
5808;SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO);BRT TRANSOESTE
TR0NCAL 0NC;;
